Name;Vorname;Geburtsjahr;Beruf;Partei_KurzBez;Gewählt_Land;Gewählt_Wahlkreis_Nr;Gewählt_Wahlkreis_Bez;Wiedergewählt
Bellmann;Veronika;1960;MdB;CDU;SN;161;Mittelsachsen;X
Benning;Sybille;1961;Dipl.-Ing. Landschaftsplanung;CDU;NW;129;Münster;X
Berghegger;André;1972;MdB / Jurist;CDU;NI;38;Osnabrück-Land;X
Bernhard;Marc;1972;Rechtsanwalt / Geschäftsführer;AfD;BW;;;
Bernstein;Melanie;1976;Kulturwissenschaftlerin;CDU;SH;6;Plön – Neumünster;
Bernstiel;Christoph;1984;Kommunikationsberater;CDU;ST;72;Halle;
Beutin;Lorenz Gösta;1978;Historiker;DIE LINKE;SH;;;
Beyer;Peter;1970;MdB / Rechtsanwalt;CDU;NW;105;Mettmann II;X
Biadacz;Marc;1979;ltd. Angestellter in der Digitalbranche;CDU;BW;260;Böblingen;
Bieberstein;Matern;1962;MdB / Verleger;CDU;BW;281;Freiburg;X
Bilger;Steffen;1979;MdB / Rechtsanwalt;CDU;BW;265;Ludwigsburg;X
Binding;Lothar;1950;MdB / Dipl.-Mathematiker;SPD;BW;;;X
Birkwald;Matthias W.;1961;Dipl.-Sozialwissenschaftler;DIE LINKE;NW;;;X
Bleck;Andreas;1988;Student;AfD;RP;;;
Bleser;Peter;1952;MdB / Landwirtschaftsmeister;CDU;RP;200;Mosel/Rhein-Hunsrück;X
Bluhm;Heidrun;1958;MdB;DIE LINKE;MV;;;X
Boehringer;Peter Christian Pascal;1969;Kaufmann / Wirtschaftspublizist;AfD;BY;;;
Brackmann;Norbert;1954;Jurist;CDU;SH;10;Herzogtum Lauenburg – Stormarn-Süd;X
Brand;Michael;1973;MdB;CDU;HE;174;Fulda;X
Brandenburg;Jens;1986;Unternehmensberater;FDP;BW;;;
Brandenburg;Mario;1983;Wirtschaftsinformatiker;FDP;RP;;;
Brandl;Reinhard;1977;MdB / Dipl.-Wirtschaftsingenieur;CSU;BY;216;Ingolstadt;X
Brandner;Stephan;1966;Rechtsanwalt;AfD;TH;;;
Brandt;Michel;1990;Schauspieler;DIE LINKE;BW;;;
Brantner;Franziska;1979;MdB;GRÜNE;BW;;;X
Brauksiepe;Ralf;1967;parl. Staatssekretär;CDU;NW;;;X
Braun;Helge Reinhold;1972;Arzt;CDU;HE;173;Gießen;X
Braun;Jürgen;1961;Kommunikationsberater;AfD;BW;;;
Breher;Silvia;1973;Geschäftsführerin / Rechtsanwältin;CDU;NI;32;Cloppenburg – Vechta;
Brehm;Sebastian;1971;Steuerberater / Dipl.-Kaufmann;CSU;BY;244;Nürnberg-Nord;
Brehmer;Heike;1962;MdB / Dipl.-Betriebswirtin (FH);CDU;ST;68;Harz;X
Breymaier;Leni;1960;Einzelhandelskauffrau;SPD;BW;;;
Brinkhaus;Ralph;1968;MdB / Steuerberater;CDU;NW;131;Gütersloh I;X
Brodesser;Carsten;1967;ltd. Angestellter / Dipl.-Volkswirt;CDU;NW;99;Oberbergischer Kreis;
Brugger;Agnes;1985;MdB;GRÜNE;BW;;;X
Brunner;Karl Heinz;1953;MdB;SPD;BY;;;X
Buchholz;Bernd;1961;Rechtsanwalt;FDP;SH;;;
Buchholz;Christine;1971;Erziehungswissenschaftlerin;DIE LINKE;HE;;;X
Budde;Katrin;1965;MdL / Dipl.-Ing. für Arbeitsgestaltung;SPD;ST;;;
Bühl;Marcus;1977;Dipl.-Informatiker (M. Sc.) (FH);AfD;TH;;;
Bull-Bischoff;Birke;1963;Erziehungswissenschaftlerin / Soziologin;DIE LINKE;ST;;;
Bülow;Marco;1971;freier Journalist / Publizist;SPD;NW;142;Dortmund I;X
Burkert;Martin;1964;MdB / Gewerkschaftssekretär;SPD;BY;;;X
Buschmann;Marco;1977;Rechtsanwalt;FDP;NW;;;
Busen;Karlheinz;1951;Dipl.-Ingenieur;FDP;NW;;;
Büttner;Matthias;1990;Informatiker;AfD;ST;;;
Bystron;Petr;1972;Unternehmer;AfD;BY;;;
Castellucci;Lars;1974;MdB / Hochschulprofessor;SPD;BW;;;X
Cezanne;Jörg;1958;Geschäftsführer;DIE LINKE;HE;;;
Christmann;Anna;1983;wiss. Referentin;GRÜNE;BW;;;
Chrupalla;Tino;1975;selbst. Malermeister;AfD;SN;157;Görlitz;
Connemann;Gitta;1964;MdB / Rechtsanwältin;CDU;NI;25;Unterems;X
Cotar;Joana Eleonora;1973;selbständig;AfD;HE;;;
Cronenberg;Carl-Julius;1962;Unternehmer;FDP;NW;;;
Curio;Gottfried;1960;MdAB;AfD;BE;;;
Dağdelen;Sevim;1975;Journalistin;DIE LINKE;NW;;;X
Daldrup;Bernhard;1956;MdB;SPD;NW;;;X
Damerow;Astrid;1958;geschäftsf. Gesellschafterin Coaching und Beratung;CDU;SH;2;Nordfriesland – Dithmarschen Nord;
Dassler;Britta Katharina;1964;Unternehmerin;FDP;BY;;;
