Name;Vorname;Geburtsjahr;Beruf;Partei_KurzBez;Gewählt_Land;Gewählt_Wahlkreis_Nr;Gewählt_Wahlkreis_Bez;Wiedergewählt
Kurth;Markus;1966;Dipl.-Politikwissenschaftler;GRÜNE;NW;;;X
Lambrecht;Christine;1965;Rechtsanwältin;SPD;HE;;;X
Lambsdorff;Alexander;1966;Diplomat;FDP;NW;;;
Lamers;Karl;1951;MdB / Rechtsanwalt;CDU;BW;274;Heidelberg;X
Lämmel;Gottfried Andreas;1959;MdB;CDU;SN;159;Dresden I;X
Landgraf;Katharina;1954;MdB;CDU;SN;154;Leipzig-Land;X
Lange;Christian;1964;MdB / parl. Staatssekretär;SPD;BW;;;X
Lange;Ulrich;1969;MdB;CSU;BY;254;Donau-Ries;X
Launert;Silke;1976;MdB;CSU;BY;237;Bayreuth;X
Lauterbach;Karl;1963;MdB;SPD;NW;101;Leverkusen – Köln IV;X
Lay;Caren Nicole;1972;Soziologin;DIE LINKE;SN;;;X
Lazar;Monika;1967;MdB;GRÜNE;SN;;;X
Lechte;Ulrich;1977;Betriebswirt (VWA);FDP;BY;;;
Lehmann;Jens;1967;Erzieher;CDU;SN;152;Leipzig I;
Lehmann;Sven;1979;Politikwissenschaftler / Personalentwickler ö. D.;GRÜNE;NW;;;
Lehrieder;Paul;1959;MdB / Rechtsanwalt;CSU;BY;251;Würzburg;X
Leidig;Sabine;1961;MdB;DIE LINKE;HE;;;X
Leikert;Katja;1975;MdB;CDU;HE;180;Hanau;X
Lemke;Steffi;1968;MdB;GRÜNE;ST;;;X
Lenkert;Ralph;1967;MdB / Werkzeugmacher / Maschinenbautechniker;DIE LINKE;TH;;;X
Lenz;Andreas;1981;MdB;CSU;BY;213;Erding – Ebersberg;X
Leutert;Michael Gerhard;1974;Dipl.-Soziologe;DIE LINKE;SN;;;X
Leyen;Ursula;1958;MdB / Bundesministerin / Ärztin;CDU;NI;;;X
Lezius;Antje;1960;MdB;CDU;RP;201;Kreuznach;X
Liebich;Stefan;1972;MdB / Dipl.-Betriebswirt;DIE LINKE;BE;76;Berlin-Pankow;X
Lindh;Helge;1976;wiss. Mitarbeiter;SPD;NW;102;Wuppertal I;
Lindholz;Andrea;1970;MdB / Rechtsanwältin;CSU;BY;247;Aschaffenburg;X
Lindner;Christian;1979;MdL;FDP;NW;;;
Lindner;Tobias;1982;MdB;GRÜNE;RP;;;X
Link;Michael Georg;1963;Staatsminister a. D.;FDP;BW;;;
Linnemann;Carsten;1977;MdB / Dipl.-Volkswirt;CDU;NW;137;Paderborn – Gütersloh III;X
Lips;Patricia;1963;Handelsfachwirtin;CDU;HE;187;Odenwald;X
Lischka;Burkhard Karl Erich;1965;MdB / Jurist;SPD;ST;;;X
Löbel;Nikolas;1986;Geschäftsführer;CDU;BW;275;Mannheim;
Loos;Bernhard;1955;mittelständ. Unternehmer;CSU;BY;217;München-Nord;
Lötzsch;Gesine;1961;MdB / Philologin;DIE LINKE;BE;86;Berlin-Lichtenberg;X
Lucassen;Hans-Rüdiger;1951;Geschäftsführer;AfD;NW;;;
Luczak;Jan-Marco;1975;Rechtsanwalt;CDU;BE;81;Berlin-Tempelhof-Schöneberg;X
Ludwig;Daniela;1975;MdB;CSU;BY;222;Rosenheim;X
Lühmann;Kirsten;1964;MdB / Polizistin;SPD;NI;;;X
Luksic;Oliver;1979;Unternehmensberater;FDP;SL;;;
Lutze;Thomas;1969;MdB / Maschinenbauer;DIE LINKE;SL;;;X
Maag;Karin;1962;MdB;CDU;BW;259;Stuttgart II;X
Maas;Heiko Josef;1966;Jurist;SPD;SL;;;
Magnitz;Frank Rüdiger Heinrich;1952;Kaufmann;AfD;HB;;;
Magwas;Yvonne;1979;MdB;CDU;SN;166;Vogtlandkreis;X
Maier;Jens;1962;Richter;AfD;SN;;;
Maier;Lothar;1944;Hochschullehrer;AfD;BW;;;
Maizière;Thomas;1954;MdB / Bundesminister;CDU;SN;155;Meißen;X
Malsack-Winkemann;Birgit;1964;Richterin;AfD;BE;;;
Mannes;Astrid;1967;Bürgermeisterin;CDU;HE;186;Darmstadt;
Mansmann;Till Berthold;1968;Dipl.-Physiker;FDP;HE;;;
Marks;Caren;1963;MdB / Dipl.-Geografin;SPD;NI;;;X
Martens;Jürgen Andreas Michael;1959;Rechtsanwalt / Staatsminister a. D.;FDP;SN;;;
Marwitz;Hans-Georg;1961;MdB / Landwirt;CDU;BB;59;Märkisch-Oderland – Barnim II;X
Masi;Fabio Valeriano Lanfranco;1980;MdEP / Dipl.-Volkswirt;DIE LINKE;HH;;;
Mast;Katja;1971;MdB;SPD;BW;;;X
Matschie;Christoph;1961;Theologe;SPD;TH;;;
Mattfeldt;Andreas;1969;MdB / Industriekaufmann;CDU;NI;34;Osterholz – Verden;X
Mattheis;Hildegard;1954;MdB;SPD;BW;;;X
Mayer;Stephan;1973;MdB / Rechtsanwalt;CSU;BY;212;Altötting;X
Meiser;Pascal;1975;Dipl.-Politikwissenschaftler;DIE LINKE;BE;;;
Meister;Michael Günther;1961;Dipl.-Mathematiker;CDU;HE;188;Bergstraße;X
Merkel;Angela Dorothea;1954;MdB;CDU;MV;15;Vorpommern-Rügen – Vorpommern-Greifswald I;X
Metzler;Jan;1981;Winzer / Dipl.-Betriebswirt (FH);CDU;RP;206;Worms;X
Meyer;Christoph;1975;Rechtsanwalt / ltd. Angestellter;FDP;BE;;;
Miazga;Corinna;1983;Angestellte;AfD;BY;;;
Michelbach;Hans Georg;1949;MdB;CSU;BY;238;Coburg;X
Middelberg;Mathias;1964;MdB / Rechtsanwalt;CDU;NI;39;Stadt Osnabrück;X
Miersch;Matthias;1968;MdB / Rechtsanwalt;SPD;NI;47;Hannover-Land II;X
Mieruch;Mario;1975;Dipl.-Ing. Mechatronik (B. A.);AfD;NW;;;
Mihalic;Irene;1976;Polizeibeamtin a. D.;GRÜNE;NW;;;X
Mindrup;Klaus;1964;MdB / Dipl.-Biologe;SPD;BE;;;X
Mittag;Susanne;1958;Polizeibeamtin;SPD;NI;;;X
Mohamed Ali;Amira;1980;Rechtsanwältin;DIE LINKE;NI;;;
Möhring;Cornelia;1960;Dipl.-Sozialökonomin;DIE LINKE;SH;;;X
Mohrs;Falko;1984;Dipl.-Kaufmann (FH) / Speditionskaufmann;SPD;NI;51;Helmstedt – Wolfsburg;
Moll;Claudia;1968;Altenpflegerin;SPD;NW;88;Aachen II;
Möller;Siemtje;1983;Lehrerin (StRin);SPD;NI;26;Friesland – Wilhelmshaven – Wittmund;
Monstadt;Dietrich;1957;MdB / Rechtsanwalt;CDU;MV;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;X
Möring;Karsten;1949;MdB;CDU;NW;93;Köln I;X
Mortler;Marlene;1955;MdB / Hauswirtschaftsmeisterin;CSU;BY;246;Roth;X
Motschmann;Elisabeth Charlotte;1952;MdB / Staatsrätin a. D.;CDU;HB;;;X
Movassat;Niema;1984;Jurist;DIE LINKE;NW;;;X
Mrosek;Andreas;1958;MdL / Dipl.-Ing. für Schiffsführung;AfD;ST;;;
Müller;Alexander;1969;Dipl.-Informatiker;FDP;HE;;;
Müller;Axel;1963;Richter;CDU;BW;294;Ravensburg;
Müller;Bettina;1959;MdB;SPD;HE;;;X
Müller;Carsten;1970;Rechtsanwalt / Bankkaufmann;CDU;NI;;;X
Müller;Claudia;1981;Betriebswirtin;GRÜNE;MV;;;
Müller;Detlef;1964;Lokomotivführer;SPD;SN;;;X
Müller;Gerhard (Gerd);1955;MdB / Bundesminister;CSU;BY;256;Oberallgäu;X
Müller;Hansjörg Gerhard Georg;1968;selbst. Interimmanager;AfD;BY;;;
Müller;Norbert;1986;MdB / Student;DIE LINKE;BB;;;X
Müller;Sepp;1989;Dipl.-Bankbetriebswirt (FS);CDU;ST;70;Dessau – Wittenberg;
Müller;Stefan;1975;parl. Staatssekretär;CSU;BY;242;Erlangen;X
Müller-Böhm;Roman;1992;Student;FDP;NW;;;
Müller-Gemmeke;Beate;1960;MdB;GRÜNE;BW;;;X
Müller-Rosentritt;Frank;1982;ltd. Angestellter / Geschäftsführer;FDP;SN;;;
Müntefering;Michelle;1980;Journalistin;SPD;NW;141;Herne – Bochum II;X
Münz;Volker;1964;Bankkaufmann;AfD;BW;;;
Münzenmaier;Sebastian;1989;Geschäftsführer;AfD;RP;;;
Mützenich;Rolf;1959;Politikwissenschaftler;SPD;NW;95;Köln III;X
Nahles;Andrea;1970;MdB / Literaturwissenschaftlerin (M. A.);SPD;RP;;;X
Nastic;Zaklin;1980;Angehörigenpflegerin;DIE LINKE;HH;;;
Nestle;Ingrid;1977;Dipl.-Wirtschaftsingenieurin;GRÜNE;SH;;;
Neu;Alexander;1969;Politikwissenschaftler;DIE LINKE;NW;;;X
Neumann;Christoph;1964;Dipl.-Ing. Pädagoge;AfD;SN;;;
Neumann;Martin;1956;Hochschullehrer / beratender Ingenieur;FDP;BB;;;
Nick;Andreas;1967;MdB / Dipl.-Kaufmann / M.I.P.P.;CDU;RP;204;Montabaur;X
Nicolaisen;Petra;1965;Industriekauffrau;CDU;SH;1;Flensburg – Schleswig;
Nietan;Dietmar;1964;MdB;SPD;NW;;;X
Nissen;Ulrike;1959;MdB;SPD;HE;;;X
Noll;Michaela;1959;MdB / Rechtsanwältin;CDU;NW;104;Mettmann I;X
Nolte;Jan Ralf;1988;Soldat;AfD;HE;;;
Nord;Thomas Hans;1957;MdB / Kulturwissenschaftler;DIE LINKE;BB;;;X
Notz;Konstantin;1971;MdB / Jurist;GRÜNE;SH;;;X
Nouripour;Omid;1975;selbständig;GRÜNE;HE;;;X
Nüßlein;Georg;1969;MdB / Dipl.-Kaufmann;CSU;BY;255;Neu-Ulm;X
Oehme;Bernhard Ulrich;1960;Versicherungsmakler;AfD;SN;;;
Oellers;Wilfried;1975;Rechtsanwalt;CDU;NW;89;Heinsberg;X
Oppermann;Thomas;1954;MdB / Jurist;SPD;NI;53;Göttingen;X
Ortleb;Josephine Loulou;1986;Fachwirtin im Gastgewerbe;SPD;SL;296;Saarbrücken;
Oßner;Florian;1980;Dipl.-Volkswirt (Univ.);CSU;BY;228;Landshut;X
Ostendorff;Friedrich;1953;Bauer;GRÜNE;NW;;;X
Oster;Josef;1971;Bürgermeister;CDU;RP;199;Koblenz;
Otte;Henning;1968;MdB;CDU;NI;44;Celle – Uelzen;X
Otten;Gerold Joachim;1955;Major a. D. / Oberst d. R.;AfD;BY;;;
Özdemir;Cem;1965;MdB;GRÜNE;BW;;;X
Özdemir;Mahmut;1987;MdB;SPD;NW;116;Duisburg II;X
Özoğuz;Aydan Saliha;1967;MdB / Staatsministerin;SPD;HH;22;Hamburg-Wandsbek;X
Pantel;Sylvia;1961;MdB;CDU;NW;107;Düsseldorf II;X
Pasemann;Frank;1960;selbständig;AfD;ST;;;
Patzelt;Martin Maria Otto Felix;1947;MdB;CDU;BB;63;Frankfurt (Oder) – Oder-Spree;X
Pau;Petra;1963;MdB;DIE LINKE;BE;85;Berlin-Marzahn-Hellersdorf;X
Paus;Elisabeth (Lisa);1968;MdB / Dipl.-Volkswirtin;GRÜNE;BE;;;X
Pellmann;Sören;1977;Grund- und Förderschullehrer;DIE LINKE;SN;153;Leipzig II;
Perli;Victor Angelo;1982;Geschäftsführer / Politikwissenschaftler;DIE LINKE;NI;;;
Peterka;Tobias Matthias;1982;Dipl.-Jurist;AfD;BY;;;
Petry;Christian;1965;Dipl.-Verwaltungswirt;SPD;SL;;;X
Petry;Frauke;1975;MdL;AfD;SN;158;Sächsische Schweiz-Osterzgebirge;
Pfeiffer;Joachim;1967;MdB / Dipl.-Kaufmann;CDU;BW;264;Waiblingen;X
Pflüger;Tobias;1965;wiss. Angestellter;DIE LINKE;BW;;;
Pilger;Detlev;1955;MdB / Lehrer;SPD;RP;;;X
Pilsinger;Stephan;1987;Arzt;CSU;BY;220;München-West/Mitte;
Ploß;Christoph Johannes;1985;Pressereferent;CDU;HH;21;Hamburg-Nord;
Podolay;Paul Viktor;1946;Medizintechniker / Publizist;AfD;BY;;;
Pohl;Jürgen;1964;Rechtsanwalt;AfD;TH;;;
Polat;Filiz;1978;MdL / Dipl.-Volkswirtin;GRÜNE;NI;;;
Pols;Eckhard;1962;MdB / Glasermeister;CDU;NI;37;Lüchow-Dannenberg – Lüneburg;X
Poschmann;Sabine;1968;Betriebswirtin (VWA);SPD;NW;143;Dortmund II;X
Post;Achim;1959;Dipl.-Soziologe;SPD;NW;134;Minden-Lübbecke I;X
Post;Florian;1981;MdB / Dipl.-Kaufmann;SPD;BY;;;X
Pronold;Florian;1972;MdB / parl. Staatssekretär;SPD;BY;;;X
Protschka;Stephan;1977;selbständig;AfD;BY;;;
Raabe;Sascha Markus;1968;MdB;SPD;HE;;;X
Rabanus;Martin Hermann;1971;MdB;SPD;HE;;;X
Rachel;Thomas;1962;MdB / parl. Staatssekretär;CDU;NW;90;Düren;X
Radomski;Kerstin;1974;MdB / Lehrerin;CDU;NW;114;Krefeld II – Wesel II;X
Radwan;Alexander Gamal;1964;MdB;CSU;BY;223;Bad Tölz-Wolfratshausen – Miesbach;X
Rainer;Alois Georg Josef;1965;MdB / Metzgermeister;CSU;BY;231;Straubing;X
Ramsauer;Peter;1954;MdB / Müllermeister / Dipl.-Kaufmann;CSU;BY;225;Traunstein;X
Rehberg;Eckhardt Harald;1954;MdB / Dipl.-Ing. für Informationsverwaltung;CDU;MV;17;Mecklenburgische Seenplatte II – Landkreis Rostock III;X
Reichardt;Martin;1969;Angestellter;AfD;ST;;;
Reimann;Carola;1967;MdB / Biotechnologin;SPD;NI;50;Braunschweig;X
Reinhold;Hagen;1978;Meister im Maurer- und Betonhandwerk;FDP;MV;;;
Remmers;Ingrid;1965;Sozialwissenschaftlerin;DIE LINKE;NW;;;
Renner;Martin Erwin;1954;Dipl.-Betriebswirt;AfD;NW;;;
Renner;Martina;1967;MdB / wiss. Mitarbeiterin;DIE LINKE;TH;;;X
Reusch;Roman Johannes;1954;Beamter / Oberstaatsanwalt;AfD;BB;;;
Reuther;Bernd;1971;Angestellter;FDP;NW;;;
Ridder;Daniela;1962;MdB;SPD;NI;;;X
Riebsamen;Lothar;1957;MdB;CDU;BW;293;Bodensee;X
Rief;Josef;1960;MdB / Landwirtschaftsmeister;CDU;BW;292;Biberach;X
Riexinger;Bernd;1955;Parteivorsitzender;DIE LINKE;BW;;;
Rimkus;Andreas;1962;Elektromeister in der Energiewirtschaft;SPD;NW;;;X
Rix;Sönke;1975;Erzieher;SPD;SH;;;X
Rohde;Dennis;1986;MdB / Rechtsanwalt;SPD;NI;27;Oldenburg – Ammerland;X
Röring;Johannes August;1959;MdB / staatl. geprüfter Landwirt;CDU;NW;126;Borken II;X
Rosemann;Martin;1976;MdB / Dipl.-Volkswirt;SPD;BW;;;X
Röspel;René;1964;MdB / Dipl.-Biologe;SPD;NW;138;Hagen – Ennepe-Ruhr-Kreis I;X
Rossmann;Ernst Dieter;1951;MdB / Dipl.-Psychologe;SPD;SH;;;X
Rößner;Tabea;1966;MdB;GRÜNE;RP;;;X
Roth;Claudia Benedikta;1955;MdB / Dramaturgin;GRÜNE;BY;;;X
Roth;Michael;1970;Staatsminister;SPD;HE;169;Werra-Meißner – Hersfeld-Rotenburg;X
Röttgen;Norbert;1965;Rechtsanwalt;CDU;NW;98;Rhein-Sieg-Kreis II;X
Rottmann;Manuela;1972;Juristin;GRÜNE;BY;;;
Rouenhoff;Stefan;1978;Handelsattaché;CDU;NW;112;Kleve;
Rüddel;Erwin;1955;MdB / Dipl.-Betriebswirt;CDU;RP;197;Neuwied;X
Rüffer;Corinna;1975;Politikerin;GRÜNE;RP;;;X
Ruppert;Stefan;1971;Rechtsanwalt;FDP;HE;;;
Rupprecht;Albert;1968;MdB / Dipl.-Volkswirt;CSU;BY;235;Weiden;X
Rüthrich;Susann;1977;MdB;SPD;SN;;;X
Rützel;Bernd;1968;MdB / techn. Oberamtsrat a. D.;SPD;BY;;;X
Ryglewski;Sarah Janina;1983;MdB / Dipl.-Politikwissenschaftlerin;SPD;HB;54;Bremen I;X
Saathoff;Johann;1967;MdB / Dipl.-Verwaltungswirt (FH);SPD;NI;24;Aurich – Emden;X
Sarrazin;Manuel Ferdinand Theodor;1982;Historiker;GRÜNE;HH;;;X
Sattelberger;Thomas;1949;Vorstand i. R.;FDP;BY;;;
Sauer;Stefan;1966;Bürgermeister;CDU;HE;184;Groß-Gerau;
Sauter;Christian;1980;Dipl.-Wirtschaftsingenieur (FH);FDP;NW;;;
Schäfer;Anita;1951;MdB / Angestellte;CDU;RP;210;Pirmasens;X
Schäfer;Axel;1952;MdB;SPD;NW;140;Bochum I;X
Schäffler;Frank;1968;Dipl.-Betriebswirt;FDP;NW;;;
Schäuble;Wolfgang;1942;MdB / Bundesminister;CDU;BW;284;Offenburg;X
Schauws;Ursula (Ulle);1966;Film- und Fernsehwissenschaftlerin;GRÜNE;NW;;;X
Scheer;Nina;1971;Juristin / Politikwissenschaftlerin / Musikerin;SPD;SH;;;X
Scheuer;Andreas Franz;1974;MdB;CSU;BY;229;Passau;X
Schick;Gerhard;1972;MdB / Volkswirt;GRÜNE;BW;;;X
Schieder;Marianne;1962;MdB / Juristin;SPD;BY;;;X
Schiefner;Udo;1959;MdB;SPD;NW;;;X
Schielke-Ziesing;Ulrike;1969;Verwaltungsangestellte;AfD;MV;;;
Schimke;Jana;1979;Dipl.-Politologin / Politikwissenschaftlerin;CDU;BB;62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;X
Schinnenburg;Wieland Albert Wilhelm;1958;Zahnarzt / Rechtsanwalt;FDP;HH;;;
Schipanski;Tankred;1976;MdB;CDU;TH;192;Gotha – Ilm-Kreis;X
Schlund;Robby;1967;Arzt;AfD;TH;;;
Schmid;Nils;1973;MdL;SPD;BW;;;
Schmidt;Christian;1957;Bundesminister;CSU;BY;243;Fürth;X
Schmidt;Dagmar;1973;Historikerin;SPD;HE;;;X
Schmidt;Frithjof;1953;Sozialwissenschaftler;GRÜNE;NW;;;X
Schmidt;Stefan;1981;wiss. Angestellter;GRÜNE;BY;;;
Schmidt;Ursula (Ulla);1949;Lehrerin für Sonderpädagogik;SPD;NW;;;X
Schmidt;Uwe;1966;Hafenfacharbeiter;SPD;HB;55;Bremen II – Bremerhaven;
Schmidtke;Claudia;1966;Ärztin;CDU;SH;11;Lübeck;
Schneider;Carsten;1976;Bankkaufmann;SPD;TH;;;X
Schneider;Jörg;1964;Lehrer;AfD;NW;;;
Schnieder;Patrick;1968;MdB / Rechtsanwalt;CDU;RP;202;Bitburg;X
Schön;Nadine;1983;MdB;CDU;SL;298;St. Wendel;X
Schraps;Johannes;1983;wiss. Mitarbeiter Bundestag;SPD;NI;46;Hameln-Pyrmont – Holzminden;
Schreiber;Eva-Maria Elisabeth;1958;Ethnologin;DIE LINKE;BY;;;
Schreiner;Felix;1986;MdL;CDU;BW;288;Waldshut;
Schrodi;Michael;1977;Studienrat;SPD;BY;;;
Schüle;Manja;1976;Angestellte;SPD;BB;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;
Schulte;Ursula;1952;MdB / Hausfrau;SPD;NW;;;X
Schulz;Martin;1955;Buchhändler;SPD;NW;;;
Schulz;Ralph Jimmy;1968;Unternehmer;FDP;BY;;;
Schulz;Swen;1968;MdB;SPD;BE;78;Berlin-Spandau – Charlottenburg Nord;X
Schulz;Uwe;1961;ltd. Angestellter;AfD;HE;;;
Schulz-Asche;Kordula Anna Paula;1956;Kommunikationswissenschaftlerin;GRÜNE;HE;;;X
Schulze;Klaus-Peter Friedrich Walter;1954;MdB / Dipl.-Lehrer;CDU;BB;64;Cottbus – Spree-Neiße;X
Schummer;Uwe;1957;Groß- und Außenhandelskaufmann;CDU;NW;111;Viersen;X
Schurer;Ewald;1954;MdB / Dipl.-Betriebswirt;SPD;BY;;;X
Schuster;Armin;1961;MdB;CDU;BW;282;Lörrach – Müllheim;X
Schwabe;Frank;1970;MdB;SPD;NW;121;Recklinghausen I;X
Schwartze;Stefan;1974;MdB / Industriemechaniker;SPD;NW;133;Herford – Minden-Lübbecke II;X
Schwarz;Andreas;1965;MdB / Dipl.-Betriebswirt (FH);SPD;BY;;;X
Schwarzelühr-Sutter;Rita;1962;MdB / parl. Staatssekretärin;SPD;BW;;;X
Schweiger;Torsten;1968;Dipl.-Ingenieur;CDU;ST;74;Mansfeld;
Seestern-Pauly;Matthias;1984;Gymnasiallehrer;FDP;NI;;;
Seif;Detlef;1962;MdB / Rechtsanwalt;CDU;NW;92;Euskirchen – Rhein-Erft-Kreis II;X
Seitz;Thomas;1967;Rechtsassessor;AfD;BW;;;
Selle;Johannes;1956;Dipl.-Mathematiker;CDU;TH;191;Jena – Sömmerda – Weimarer Land I;X
Sendker;Reinhold;1952;MdB / Studiendirektor a. D.;CDU;NW;130;Warendorf;X
Sensburg;Patrick Ernst Hermann;1971;MdB / Hochschullehrer;CDU;NW;147;Hochsauerlandkreis;X
Sichert;Martin Johannes;1980;Dipl.-Kaufmann;AfD;BY;;;
Silberhorn;Thomas;1968;parl. Staatssekretär;CSU;BY;236;Bamberg;X
Simon;Björn Manuel;1981;Politikwissenschaftler;CDU;HE;185;Offenbach;
Sitta;Frank;1978;Geschäftsführer;FDP;ST;;;
Sitte;Petra;1960;Dipl.-Ökonomin;DIE LINKE;ST;;;X
Skudelny;Judith;1975;Rechtsanwältin;FDP;BW;;;
Solms;Hermann Otto;1940;selbständig;FDP;HE;;;
Sommer;Evrim;1971;wiss. Mitarbeiterin;DIE LINKE;BE;;;
Sorge;Tino;1975;MdB / Rechtsanwalt;CDU;ST;69;Magdeburg;X
Spahn;Jens;1980;MdB / Bankkaufmann;CDU;NW;124;Steinfurt I – Borken I;X
Spangenberg;Detlev;1944;Dipl.-Betriebswirt;AfD;SN;;;
Spaniel;Dirk;1971;Dipl.-Ingenieur;AfD;BW;;;
Spiering;Rainer;1956;MdB;SPD;NI;;;X
Springer;René;1979;Angestellter;AfD;BB;;;
Stadler;Svenja;1976;MdB / Senior-PR-Beraterin;SPD;NI;;;X
Staffler;Katrin;1981;Biochemikerin (M. Sc.);CSU;BY;215;Fürstenfeldbruck;
Stamm-Fibich;Martina;1965;MdB / Marketing- und Kommunikationsmanagerin;SPD;BY;;;X
Stark-Watzinger;Bettina;1968;Dipl.-Volkswirtin;FDP;HE;;;
Steffel;Frank;1966;Dipl.-Kaufmann;CDU;BE;77;Berlin-Reinickendorf;X
Steffen;Sonja Amalie;1963;Rechtsanwältin;SPD;MV;;;X
Stefinger;Wolfgang;1985;MdB / Betriebswirt;CSU;BY;218;München-Ost;X
Stegemann;Albert;1976;MdB / Landwirtschaftsmeister;CDU;NI;31;Mittelems;X
Steier;Andreas;1972;Dipl.-Ingenieur;CDU;RP;203;Trier;
Stein;Jens Mathias;1970;Bautechniker;SPD;SH;5;Kiel;
Stein;Peter;1968;MdB;CDU;MV;14;Rostock – Landkreis Rostock II;X
Steineke;Sebastian;1973;Rechtsanwalt;CDU;BB;56;Prignitz – Ostprignitz-Ruppin – Havelland I;X
Steiniger;Johannes;1987;MdB / Gymnasiallehrer;CDU;RP;208;Neustadt – Speyer;X
Steinke;Kersten;1958;MdB / Agraringenieurin;DIE LINKE;TH;;;X
Stetten;Christian Alexander;1970;MdB / selbst. Kaufmann;CDU;BW;268;Schwäbisch Hall – Hohenlohe;X
Stier;Dieter;1964;MdB / Dipl.-Agraringenieur;CDU;ST;73;Burgenland – Saalekreis;X
Storch;Beatrix;1971;MdEP / Anwältin;AfD;BE;;;
Storjohann;Gero;1958;MdB / Dipl.-Betriebswirt (FH);CDU;SH;8;Segeberg – Stormarn-Mitte;X
Stracke;Stephan;1974;MdB;CSU;BY;257;Ostallgäu;X
Strack-Zimmermann;Marie-Agnes;1958;selbst. Verlagsrepräsentantin;FDP;NW;;;
Straetmanns;Friedrich;1961;Richter;DIE LINKE;NW;;;
Strasser;Benjamin;1987;Rechtsanwalt;FDP;BW;;;
Straubinger;Max;1954;Versicherungskaufmann;CSU;BY;230;Rottal-Inn;X
Strengmann-Kuhn;Wolfgang;1964;Volkswirt;GRÜNE;HE;;;X
Strenz;Karin;1967;MdB;CDU;MV;13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;X
Stübgen;Michael;1959;MdB / Baufacharbeiter / Pfarrer;CDU;BB;65;Elbe-Elster – Oberspreewald-Lausitz II;X
Stumpp;Margit;1963;Oberstudienrätin;GRÜNE;BW;;;
Suding;Katja Rita;1975;Kommunikationsberaterin;FDP;HH;;;
Tack;Kerstin;1968;MdB / Dipl.-Sozialpädagogin;SPD;NI;41;Stadt Hannover I;X
Tackmann;Kirsten;1960;MdB / Tierärztin;DIE LINKE;BB;;;X
Tatti;Jessica;1981;Sozialarbeiterin (B. A.);DIE LINKE;BW;;;
Tauber;Peter Michael;1974;MdB;CDU;HE;175;Main-Kinzig – Wetterau II – Schotten;X
Tausend;Claudia;1964;MdB / Dipl.-Geografin;SPD;BY;;;X
Tebroke;Hermann-Josef;1964;Landrat;CDU;NW;100;Rheinisch-Bergischer Kreis;
Teuteberg;Linda;1981;Rechtsanwältin / Referentin im BMBF;FDP;BB;;;
Theurer;Michael;1967;MdEP;FDP;BW;;;
Thews;Michael;1964;Dipl.-Chemieingenieur;SPD;NW;145;Hamm – Unna II;X
Thies;Hans-Jürgen;1955;Rechtsanwalt;CDU;NW;146;Soest;
Thomae;Stephan;1968;Rechtsanwalt;FDP;BY;;;
Throm;Alexander;1968;Rechtsanwalt;CDU;BW;267;Heilbronn;
Tiemann;Dietlind;1955;Oberbürgermeisterin;CDU;BB;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;
Tillmann;Antje;1964;Dipl.-Finanzwirtin;CDU;TH;193;Erfurt – Weimar – Weimarer Land II;X
Todtenhausen;Manfred;1950;Elektromeister;FDP;NW;;;
Toncar;Florian;1979;Rechtsanwalt;FDP;BW;;;
Töns;Markus;1964;Politologe;SPD;NW;123;Gelsenkirchen;
Tressel;Markus Stefan;1977;MdB;GRÜNE;SL;;;X
Trittin;Jürgen;1954;MdB / Bundesminister a. D.;GRÜNE;NI;;;X
Uhl;Markus Alexander;1979;Dipl.-Kaufmann;CDU;SL;299;Homburg;X
Ullmann;Andrew;1963;Universitätsprofessor für Infektiologie;FDP;BY;;;
Ullrich;Gerald;1962;Ingenieur;FDP;TH;;;
Ullrich;Volker Michael;1975;MdB;CSU;BY;252;Augsburg-Stadt;X
Ulrich;Alexander;1971;MdB;DIE LINKE;RP;;;X
Vaatz;Arnold;1955;MdB;CDU;SN;160;Dresden II – Bautzen II;X
Veith;Oswin;1961;MdB;CDU;HE;177;Wetterau I;X
Verlinden;Julia Maria Kornelia;1979;MdB / Dipl.-Umweltwissenschaftlerin;GRÜNE;NI;;;X
Vieregge;Kerstin;1976;Betriebswirtin;CDU;NW;135;Lippe I;
Vogel;Johannes;1982;Politikwissenschaftler;FDP;NW;;;
Vogel;Volkmar;1959;Dipl.-Ingenieur (FH);CDU;TH;194;Gera – Greiz – Altenburger Land;X
Vogler;Kathrin;1963;MdB;DIE LINKE;NW;;;X
Vogt;Ute;1964;MdB / Rechtsanwältin;SPD;BW;;;X
Vöpel;Dirk;1971;selbst. Kaufmann;SPD;NW;117;Oberhausen – Wesel III;X
Vries;Christoph Bernhard;1974;Dipl.-Soziologe / ltd. Angestellter;CDU;HH;;;
Vries;Kees;1955;MdB;CDU;ST;71;Anhalt;X
Wadephul;Johann David;1963;MdB / Rechtsanwalt;CDU;SH;4;Rendsburg-Eckernförde;X
Wagenknecht;Sahra;1969;MdB;DIE LINKE;NW;;;X
